_id,id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date,theme_tags
693c0ce3b5ad81e6e1d1c5b3,169,Standing Strong in Youth Care,"Youth support and youth protection, families under pressure, children with developmental challenges, young people in development (prevention), strengthening the pedagogical context","You are state-of-the-art in knowledge, practical skill sets, and methodological competence for working broadly across the youth care sector.","You are state-of-the-art in knowledge, practical skill sets, and methodological competence for working broadly across the youth care sector.",30,['Den Bosch'],58,NLQF6,Assessment formats are based on the professional competencies of a Youth and Family Professional and are developed in collaboration with the youth care field.,"['youth support', 'youth protection', 'families', 'pressure', 'children', 'challenges', 'development', 'youth', 'development', 'prevention', 'pedagogical', 'context', 'strengthening']",0.31,286,3,68,2025-09-04T00:00:00.000Z,"['Psychology & Behavior', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5b4,170,Working in a Mandatory (Coercive) Framework,"Recovery-oriented approach, trans-institutional recovery, positioning and engagement in a complex environment, power and coercion, motivational theories","You are state-of-the-art in knowledge, practical skill sets, and methodological approaches for working within mandatory frameworks (prison institutions/forensic settings, probation services, and the Child Protection Council).","You are state-of-the-art in knowledge, practical skill sets, and methodological approaches for working within mandatory frameworks (prison institutions/forensic settings, probation services, and the Child Protection Council).",30,['Den Bosch'],58,NLQF6,Learning outcomes are aligned with the national WIGK network.,"['recovery-oriented', 'approach', 'trans-institutional', 'recovery', 'positioning', 'engagement', 'complex', 'environment', 'power', 'coercion', 'motivational', 'theories']",0.93,313,5,33,2025-12-13T00:00:00.000Z,['Spatial & Sustainable Development']
693c0ce3b5ad81e6e1d1c5b5,171,Technology in Care and Welfare,"Technology, care, welfare","A key question for today’s professionals is: ‘How can we enable people to participate more (or better) in society and be less dependent on professionals?’ One of the major challenges in care and welfare is the shortage of personnel and financial resources.\nWith the help of technology, steps can be taken to address this. But are all technologies truly suitable? After all, the tool should not become the goal. We reflect on ethical issues and influence change processes. Attention is given to Positive Health in its broad meaning.\n","A key question for today’s professionals is: ‘How can we enable people to participate more (or better) in society and be less dependent on professionals?’ One of the major challenges in care and welfare is the shortage of personnel and financial resources.\nWith the help of technology, steps can be taken to address this. But are all technologies truly suitable? After all, the tool should not become the goal. We reflect on ethical issues and influence change processes. Attention is given to Positive Health in its broad meaning.\n",30,['Den Bosch'],58,NLQF6,To be determined,"['technology', 'care', 'welfare']",0.84,413,1,34,2025-09-04T00:00:00.000Z,"['Social & Society', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5b6,172,Care Close to Home,"Remote care, technology, implementation, care, change management","With 'remote care', technology can be used to bring care closer to people’s homes. In this practice-oriented module, you will learn how to implement a new way of working and technology, and how to guide healthcare professionals and patients through this change.","With 'remote care', technology can be used to bring care closer to people’s homes. In this practice-oriented module, you will learn how to implement a new way of working and technology, and how to guide healthcare professionals and patients through this change.",15,['Breda'],60,NLQF5,You have experienced what is involved in implementing an innovation in practice and have knowledge of processes and technologies for organizing 'remote care'.,"['care', 'remote', 'technology', 'implementation', 'care', 'change management']",0.44,393,5,50,2025-10-26T00:00:00.000Z,['Medical & Healthcare']
693c0ce3b5ad81e6e1d1c5b7,173,Living Independently in the Neighborhood for Longer,"Neighborhood-oriented work, self-direction, care, welfare, older adults","In the Netherlands, we aim to enable people to live at home for as long as possible, including at an advanced age or with a chronic condition or disability. How can we, through smart solutions and collaboration, ensure that people can continue to live comfortably and safely in their own environment?","In the Netherlands, we aim to enable people to live at home for as long as possible, including at an advanced age or with a chronic condition or disability. How can we, through smart solutions and collaboration, ensure that people can continue to live comfortably and safely in their own environment?",15,['Breda'],60,NLQF5,"You have an understanding of neighborhood-oriented care and support, are familiar with the relevant stakeholders and infrastructure, and can propose ways to strengthen and improve the system surrounding the target group.","['neighborhood-oriented', 'work', 'self-direction', 'care', 'welfare', 'older adults']",0.42,401,4,20,2025-09-25T00:00:00.000Z,"['Social & Society', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5b8,174,Human-Centered Design,"Design thinking, service design, technology, UX design, target group","In care and welfare, we work with a wide diversity of care recipients and care providers. Sometimes it becomes clear that care technologies and services can be better aligned with the target group. In this module, you will (re)design a product or service to improve accessibility and user experience.","In care and welfare, we work with a wide diversity of care recipients and care providers. Sometimes it becomes clear that care technologies and services can be better aligned with the target group. In this module, you will (re)design a product or service to improve accessibility and user experience.",15,['Breda'],60,NLQF5,"You master an approach and techniques for (re)designing products and services, thereby promoting human-centered care and support.","['design', 'thinking', 'service', 'design', 'technology', 'ux design', 'target group']",0.42,144,5,72,2025-11-06T00:00:00.000Z,['Creative & Media']
693c0ce3b5ad81e6e1d1c5b9,175,Focus on Youth,"Youth, support services","In this module, you will learn how to work methodically with young people and families. In this way, you prepare yourself for working with families who receive support within youth care services.","In this module, you will learn how to work methodically with young people and families. In this way, you prepare yourself for working with families who receive support within youth care services.",15,"['Breda', 'Den Bosch']",61,NLQF5,To be determined,"['youth', 'support services']",0.5,204,1,73,2025-12-05T00:00:00.000Z,['Psychology & Behavior']
693c0ce3b5ad81e6e1d1c5ba,176,Technology That Really Works: Innovation in Care and Wellbeing,"Technology, smart health, robotics, care, wellbeing","How can technology live up to its promises and truly deliver better and affordable care and support? Effective collaboration between care and wellbeing professionals, designers, engineers, and IT specialists is essential. In this practice-oriented module, you contribute from your own professional background to a real innovation within a multidisciplinary team.","How can technology live up to its promises and truly deliver better and affordable care and support? Effective collaboration between care and wellbeing professionals, designers, engineers, and IT specialists is essential. In this practice-oriented module, you contribute from your own professional background to a real innovation within a multidisciplinary team.",15,['Breda'],62,NLQF5,"After completing this module, you will have a deeper understanding of the work of professionals from other sectors that are necessary to make the use of technology in care and wellbeing truly successful. Your broadened perspective will help you contribute to innovation in care and wellbeing from your own professional field.","['technology', 'smart', 'health', 'robotics', 'care', 'wellbeing']",0.64,410,4,73,2025-11-06T00:00:00.000Z,"['Technology & Digitalisation', 'Social & Societal', 'Medical & Care']"
693c0ce3b5ad81e6e1d1c5bb,177,Breaking Patterns: Basics,"Attachment, trauma, development, support services, safety","In this module, you learn about healthy versus disrupted attachment and trauma, the impact this can have on behaviour, emotions, and development, and how you as a professional can recognise the signals of disrupted attachment and respond appropriately.","In this module, you learn about healthy versus disrupted attachment and trauma, the impact this can have on behaviour, emotions, and development, and how you as a professional can recognise the signals of disrupted attachment and respond appropriately.",15,"['Breda', 'Den Bosch']",62,NLQF5,"Based on your knowledge of attachment, trauma, and development, you recognise signals of disrupted attachment that hinder further development and have concrete points of reference to help support the other person.","['attachment', 'trauma', 'development', 'support services', 'safety']",0.58,137,5,22,2025-09-27T00:00:00.000Z,['Psychology & Behaviour']
693c0ce3b5ad81e6e1d1c5bc,178,Oncology,"Oncology, disease profiles, clinical reasoning, psychosocial consequences, guidance","This in-depth module focuses on various aspects encountered within oncological care. We ensure strong input from daily practice through the involvement of guest lecturers and excursions. After completing this module, you will have extensive substantive knowledge of oncological disease profiles and be able to apply clinical reasoning in cancer care. In addition, you will learn about the psychosocial consequences of the disease and the type of guidance required for patients and their loved ones.",Oncology,15,['Breda'],63,NLQF5,To be determined,"['oncology', 'disease profiles', 'clinical reasoning', 'psychosocial consequences', 'guidance']",0.49,42,4,35,2025-12-02T00:00:00.000Z,"['Psychology & Behaviour', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5bd,179,Pro-active Nursing,"Clinical reasoning, proactive care, care needs, decision-making, assessment","Develop an in-depth understanding of clinical reasoning in our HBO Nursing module Pro-active Nursing. Learn to anticipate care needs through thoughtful analysis and shared, consistent clinical decision-making. Arrive at a professional assessment of the patient's condition and clearly articulate the clinical status.",Pro-active nursing,15,['Breda'],63,NLQF5,To be determined,"['clinical reasoning', 'proactive care', 'care needs', 'decision-making', 'assessment']",0.7,185,2,42,2025-10-02T00:00:00.000Z,['Medical & Healthcare']
693c0ce3b5ad81e6e1d1c5be,180,Youth and Contemporary Issues,"Early detection, guidance, youth, mental health, family issues","Make an impact where it is most needed, with a focus on early detection and guidance of young people facing contemporary issues. Topics include mental health, family-related problems, behavioral and attitudinal challenges, and domestic violence.",Youth and contemporary issues,15,['Breda'],63,NLQF5,To be determined,"['early detection', 'guidance', 'youth', 'mental health', 'family issues']",0.39,469,2,76,2025-10-20T00:00:00.000Z,"['Psychology & Behavior', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5bf,181,Management in Healthcare,"Management, organization, personnel, quality, healthcare","In the elective module Management in Healthcare, you learn about organizational, personnel, and quality management within the healthcare sector. Strategic management, quality management, and entrepreneurship in healthcare are also covered. Practical skills such as communication and presentation are addressed, as well as promoting collaboration between stakeholders, departments, and organizations.",Management in healthcare,15,['Breda'],63,NLQF5,To be determined,"['management', 'organization', 'personnel', 'quality', 'healthcare']",0.49,452,5,30,2025-10-31T00:00:00.000Z,"['Medical & Healthcare', 'Business, Finance & Economics']"
693c0ce3b5ad81e6e1d1c5c0,182,Working from Your Target Group,"Target group, healthcare, wellbeing, interdisciplinary, collaboration, inclusion","Deepen your understanding of a specific target group of your choice, for example people with intellectual disabilities, people with dementia, or children. You learn how to organize care and support in collaboration with other disciplines, from the perspective of the target group.","Deepen your understanding of a specific target group of your choice, for example people with intellectual disabilities, people with dementia, or children. You learn how to organize care and support in collaboration with other disciplines, from the perspective of the target group.",15,['Breda'],62,NLQF5,You learn what is required for professionals from different backgrounds to collaborate effectively in the best interest of the target group.,"['target group', 'healthcare', 'wellbeing', 'interdisciplinary', 'collaboration', 'inclusion']",0.54,380,4,31,2025-10-21T00:00:00.000Z,"['Technology & Digitalization', 'Social & Society', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5c1,183,Lifestyle and Prevention,"Lifestyle, prevention, positive health, physical activity, behavior change","What defines a healthy lifestyle? How do nutrition and physical activity contribute to both mental and physical health? Experience a lifestyle change yourself and learn how you, as a professional, can positively influence the lifestyle of others.","What defines a healthy lifestyle? How do nutrition and physical activity contribute to both mental and physical health? Experience a lifestyle change yourself and learn how you, as a professional, can positively influence the lifestyle of others.",15,['Breda'],62,NLQF5,You learn and experience in an interdisciplinary team what positive health is and how you can make an impact by positively motivating others to change their lifestyle and maintain good health.,"['lifestyle', 'prevention', 'positive', 'health', 'physical activity', 'behavior change']",0.6,479,1,29,2025-09-19T00:00:00.000Z,"['Psychology & Behavior', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5c2,184,Going Global: An International Perspective on Your Future,"Globalization, intercultural communication, health, wellbeing, deepening intercultural competencies","You undertake an internship or international project of your choice (abroad or close to home), learn about intercultural differences and intercultural communication, and gain a broader perspective on your profession and personal development.","You undertake an internship or international project of your choice (abroad or close to home), learn about intercultural differences and intercultural communication, and gain a broader perspective on your profession and personal development.",15,"['Breda', 'Den Bosch']",62,NLQF5,"You broaden your perspective (multiperspectivity) and gain a richer view of your future profession, professional vision, and personal development.","['globalization', 'intercultural', 'communication', 'health', 'wellbeing', 'deepening', 'intercultural', 'competencies']",0.81,384,5,51,2025-09-21T00:00:00.000Z,"['Medical & Healthcare', 'Social & Society']"
693c0ce3b5ad81e6e1d1c5c3,185,Innovating in Healthcare and Wellbeing,"Innovation, healthcare technology, implementation, design, health","Innovating in healthcare and wellbeing through the broad application of technology: defining innovation opportunities, system and service design, user experience around technologies, and implementation.","Innovating in healthcare and wellbeing through the broad application of technology: defining innovation opportunities, system and service design, user experience around technologies, and implementation.",30,['Breda'],60,NLQF6,"Leading a (technological) innovation in healthcare and wellbeing, practice-oriented research, personal and professional development.","['innovation', 'healthcare technology', 'implementation', 'design', 'health']",0.43,31,2,35,2025-09-05T00:00:00.000Z,"['Spatial & Sustainable Development', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5c4,186,Child-Centered Work,Child-centered practice from multiple perspectives,Replacement for the minor Criminal Justice & Social Work,Replacement for the minor Criminal Justice & Social Work,15,['Breda'],64,NLQF6,"You learn how to contribute, from your own area of expertise, to the overall development of a child. You gain knowledge of all key developmental domains (motor, cognitive, social, and emotional) and the associated chain partners. This is done through co-creation with professionals from justice, safety, healthcare, and social welfare.","['child', 'centered', 'practice', 'multiple', 'perspectives']",0.63,247,2,27,2025-11-21T00:00:00.000Z,['Medical & Healthcare']
693c0ce3b5ad81e6e1d1c5c5,187,Safety and Society,"Safety, wellbeing, chain collaboration between justice and healthcare",Replacement for the minor Criminal Justice & Social Work,Replacement for the minor Criminal Justice & Social Work,15,['Breda'],64,NLQF6,"You learn to view safety from social, physical, and mental perspectives and apply relevant theoretical frameworks (criminology, psychology, desistance theories, etc.). You develop conversational skills and use models to contribute to a safe society at different levels. You also become familiar with the forensic domain and learn to act as a professional within this field.","['safety', 'wellbeing', 'chain collaboration', 'justice', 'healthcare']",0.69,167,5,57,2025-12-01T00:00:00.000Z,"['Social & Society', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5c6,188,Musculoskeletal Spine and Sports,"Physiotherapy, musculoskeletal conditions","Advanced minor in physiotherapy focusing on musculoskeletal conditions, with a specialization choice in either spine or sports.\nKOM minor.","Advanced minor in physiotherapy focusing on musculoskeletal conditions, with a specialization choice in either spine or sports.\nKOM minor.",30,['Breda'],65,NLQF6,To be determined,"['physiotherapy', 'musculoskeletal', 'conditions']",0.33,47,4,31,2025-10-12T00:00:00.000Z,"['Technology & Digitalisation', 'Psychology & Behaviour']"
693c0ce3b5ad81e6e1d1c5c7,189,Pediatric Physiotherapy,"Youth, internationalisation",Advanced minor in physiotherapy with a focus on pediatric physiotherapy. International orientation.,Advanced minor in physiotherapy with a focus on pediatric physiotherapy. International orientation.,30,['Breda'],66,NLQF6,To be determined,"['youth', 'internationalisation']",0.69,239,2,43,2025-10-31T00:00:00.000Z,"['International', 'Psychology & Behaviour']"
693c0ce3b5ad81e6e1d1c5c8,190,Healthcare Innovation Design,"Healthcare, wellbeing, product design","This module focuses on (product) design challenges within healthcare and wellbeing. Do you want to learn and apply design thinking, design sprints, and maker skills to design challenges in healthcare and wellbeing? Then you are welcome to join the Healthcare Innovation Design minor! Over 20 weeks, we co-create tangible and testable creative products and services together with companies, designers, and healthcare and wellbeing organizations.",(Product) design challenges within healthcare and wellbeing.,30,['Breda'],67,NLQF6,To be determined,"['healthcare', 'wellbeing', 'product design']",0.41,374,4,47,2025-09-22T00:00:00.000Z,"['Social & Society', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5c9,191,The Power of the Arts,"Visual arts, music, drama, literature, digital media, personal and professional identity, Art-Based Learning","Learning from art, not about art. By doing, by connecting with people. Making impact. Being moved. Growing personally and professionally. Learning how to conduct artistic research. Going behind the scenes in the theatre, Art-Based Learning through visual art, making music and/or creating a film, acting (drama), reading and writing. Connecting this to your future work with people with dementia, young people, and children.","Learning from art, not about art. By doing, by connecting with people. Making impact. Being moved. Growing personally and professionally. Learning how to conduct artistic research. This is what we aim for in this module. Going behind the scenes in the theatre, Art-Based Learning through visual art, making music and/or creating a film, acting (drama), reading and writing. Connecting this to your future work with people with dementia, young people, and children. Taking time to discover, time to imagine, time to play.",30,['Breda'],68,NLQF6,To be determined,"['visual', 'arts', 'music', 'drama', 'literature', 'digital', 'media', 'personal', 'professional', 'identity', 'art', 'based', 'learning']",0.34,60,2,72,2025-09-21T00:00:00.000Z,"['Creative & Media', 'Technology & Digitalisation']"
693c0ce3b5ad81e6e1d1c5ca,192,Physical Education,"Physical education, primary school","During the Physical Education minor, students obtain the qualification to teach physical education classes to grades 3 through 8 of primary school.","During the Physical Education minor, students obtain the qualification to teach physical education classes to grades 3 through 8 of primary school.",30,['Breda'],69,NLQF6,To be determined,"['physical education', 'primary school']",0.92,447,2,27,2025-11-09T00:00:00.000Z,"['Education & Pedagogy', 'Research & Innovation']"
693c0ce3b5ad81e6e1d1c5cb,193,Behavior,"Behavior, orthopedagogy, training, primary education, teaching practice","The Behavior minor consists of (guest) lectures (e.g. orthopedagogy), training sessions (Strong Standing), and an internship in (special) primary education, where students’ behavior impacts the actions of the teacher. The connection between teaching practice at the internship school and the knowledge and skills offered at the PABO is central.","The Behavior minor consists of (guest) lectures (e.g. orthopedagogy), training sessions (Strong Standing), and an internship in (special) primary education, where students’ behavior impacts the actions of the teacher. The connection between teaching practice at the internship school and the knowledge and skills offered at the PABO is central.",30,['Breda'],70,NLQF6,To be determined,"['behavior', 'orthopedagogy', 'training', 'primary education', 'teaching practice']",0.93,273,3,77,2025-09-01T00:00:00.000Z,"['Education & Pedagogy', 'Research & Innovation', 'Technology & Digitalization', 'Psychology & Behavior']"
693c0ce3b5ad81e6e1d1c5cc,194,Teaching English Abroad,"School systems, curricula, didactics, arts subjects, internship","This international module consists of two parts: in the first part, students from Avans and our international partners work together in a multidisciplinary setting to learn about different school systems, curricula, didactics, arts subjects, and participate in an introductory internship. Part two focuses on completing an internship and conducting practice-based research.",Teaching English Abroad,30,['Breda'],68,NLQF6,To be determined,"['school systems', 'curricula', 'didactics', 'arts subjects', 'internship']",0.83,292,2,47,2025-09-05T00:00:00.000Z,"['Education & Pedagogy', 'Creative & Media', 'Law']"
693c0ce3b5ad81e6e1d1c5cd,195,Standing Strong in Youth Care,"youth, care, welfare, society","This minor covers the entire youth care field, including the associated competencies. It is a mandatory minor for the Care and Welfare & Society profile for students who want to work in youth care. The minor was developed in close collaboration with the professional field.","This minor covers the entire youth care field, including the associated competencies. It is a mandatory minor for the Care and Welfare & Society profile for students who want to work in youth care. The minor was developed in close collaboration with the professional field.",30,['Breda'],71,NLQF6,To be determined,"['youth', 'care', 'welfare', 'society']",0.5,36,1,55,2025-12-14T00:00:00.000Z,"['Social & Societal', 'Psychology & Behavior', 'Medical & Care']"
693c0ce3b5ad81e6e1d1c5ce,196,Mental Health Support Worker (GGZ),"mental health care, limitations, support, care","This minor focuses on the field of mental health care (GGZ). It is mandatory to obtain a GGZ registration within the Care profile. Within this profile, the emphasis is on optimizing the social functioning of people with an intellectual disability or psychological vulnerability. Their conditions and limitations are recognized, and support is provided where necessary.",This minor focuses on the field of mental health care (GGZ). It is mandatory to obtain a GGZ registration within the Care profile.,30,['Breda'],72,NLQF6,To be determined,"['mental health care', 'limitations', 'support', 'care']",0.36,235,5,45,2025-09-12T00:00:00.000Z,['Medical & Care']
693c0ce3b5ad81e6e1d1c5cf,197,Working in a Mandatory Care and Justice Framework,"boundary-crossing behavior, problem behavior, social problems, emotional problems, justice","The minor Working in a Mandatory Care and Justice Framework prepares students to work with people (adults and young people) who display boundary-crossing behavior that is harmful to themselves and their environment. Problem behavior is often accompanied by (sometimes severe) social, emotional, and material problems and reaches a level where judicial intervention becomes necessary.",This minor has its own national profile. Collaboration takes place with the professional field based on the national curriculum.,30,['Breda'],73,NLQF6,To be determined,"['boundary-crossing behavior', 'problem behavior', 'social problems', 'emotional problems', 'justice']",0.74,286,5,27,2025-11-29T00:00:00.000Z,['Psychology & Behavior']
